timestamp,current_amp
2024-05-21 05:00,121.8
2024-05-21 05:01,121.9
2024-05-21 05:02,121.99
2024-05-21 05:03,122.08
2024-05-21 05:04,122.18
2024-05-21 05:05,122.27
2024-05-21 05:06,122.35
2024-05-21 05:07,122.44
2024-05-21 05:08,122.52
2024-05-21 05:09,122.6
2024-05-21 05:10,122.68
2024-05-21 05:11,122.75
2024-05-21 05:12,122.82
2024-05-21 05:13,122.88
2024-05-21 05:14,122.93
2024-05-21 05:15,122.99
2024-05-21 05:16,123.03
2024-05-21 05:17,123.08
2024-05-21 05:18,123.11
2024-05-21 05:19,123.14
2024-05-21 05:20,123.17
2024-05-21 05:21,123.19
2024-05-21 05:22,123.2
2024-05-21 05:23,123.21
2024-05-21 05:24,123.21
2024-05-21 05:25,123.21
2024-05-21 05:26,123.2
2024-05-21 05:27,123.19
2024-05-21 05:28,123.18
2024-05-21 05:29,123.16
2024-05-21 05:30,123.13
2024-05-21 05:31,123.17
2024-05-21 05:32,123.21
2024-05-21 05:33,123.25
2024-05-21 05:34,123.28
2024-05-21 05:35,123.31
2024-05-21 05:36,123.34
2024-05-21 05:37,123.37
2024-05-21 05:38,123.39
2024-05-21 05:39,123.42
2024-05-21 05:40,123.45
2024-05-21 05:41,123.48
2024-05-21 05:42,123.51
2024-05-21 05:43,123.55
2024-05-21 05:44,123.58
2024-05-21 05:45,123.62
2024-05-21 05:46,123.66
2024-05-21 05:47,123.71
2024-05-21 05:48,123.76
2024-05-21 05:49,123.81
2024-05-21 05:50,123.87
2024-05-21 05:51,123.93
2024-05-21 05:52,124.0
2024-05-21 05:53,124.07
2024-05-21 05:54,124.15
2024-05-21 05:55,124.24
2024-05-21 05:56,124.33
2024-05-21 05:57,124.42
2024-05-21 05:58,124.52
2024-05-21 05:59,124.63
2024-05-21 06:00,124.74
2024-05-21 06:01,124.85
2024-05-21 06:02,124.98
2024-05-21 06:03,125.1
2024-05-21 06:04,125.23
2024-05-21 06:05,125.37
2024-05-21 06:06,125.51
2024-05-21 06:07,125.65
2024-05-21 06:08,125.8
2024-05-21 06:09,125.95
2024-05-21 06:10,126.11
2024-05-21 06:11,126.26
2024-05-21 06:12,126.42
2024-05-21 06:13,126.58
2024-05-21 06:14,126.74
2024-05-21 06:15,126.9
2024-05-21 06:16,127.07
2024-05-21 06:17,127.23
2024-05-21 06:18,127.39
2024-05-21 06:19,127.55
2024-05-21 06:20,127.7
2024-05-21 06:21,127.86
2024-05-21 06:22,128.01
2024-05-21 06:23,128.16
2024-05-21 06:24,128.31
2024-05-21 06:25,128.45
2024-05-21 06:26,128.59
2024-05-21 06:27,128.73
2024-05-21 06:28,128.86
2024-05-21 06:29,128.98
2024-05-21 06:30,129.11
2024-05-21 06:31,129.22
2024-05-21 06:32,129.33
2024-05-21 06:33,129.44
2024-05-21 06:34,129.53
2024-05-21 06:35,129.63
2024-05-21 06:36,129.72
2024-05-21 06:37,129.8
2024-05-21 06:38,129.88
2024-05-21 06:39,129.95
2024-05-21 06:40,130.01
2024-05-21 06:41,130.08
2024-05-21 06:42,130.13
2024-05-21 06:43,130.19
2024-05-21 06:44,130.24
2024-05-21 06:45,130.28
2024-05-21 06:46,130.32
2024-05-21 06:47,130.36
2024-05-21 06:48,130.39
2024-05-21 06:49,130.43
2024-05-21 06:50,130.46
2024-05-21 06:51,130.49
2024-05-21 06:52,130.52
2024-05-21 06:53,130.55
2024-05-21 06:54,130.57
2024-05-21 06:55,130.6
2024-05-21 06:56,130.63
2024-05-21 06:57,130.66
2024-05-21 06:58,130.7
2024-05-21 06:59,130.73
2024-05-21 07:00,130.77
2024-05-21 07:01,130.77
2024-05-21 07:02,130.78
2024-05-21 07:03,130.79
2024-05-21 07:04,130.8
2024-05-21 07:05,130.82
2024-05-21 07:06,130.84
2024-05-21 07:07,130.87
2024-05-21 07:08,130.9
2024-05-21 07:09,130.94
2024-05-21 07:10,130.99
2024-05-21 07:11,131.03
2024-05-21 07:12,131.09
2024-05-21 07:13,131.15
2024-05-21 07:14,131.21
2024-05-21 07:15,131.29
2024-05-21 07:16,131.36
2024-05-21 07:17,131.44
2024-05-21 07:18,131.53
2024-05-21 07:19,131.62
2024-05-21 07:20,131.72
2024-05-21 07:21,131.82
2024-05-21 07:22,131.92
2024-05-21 07:23,132.03
2024-05-21 07:24,132.14
2024-05-21 07:25,132.26
2024-05-21 07:26,132.38
2024-05-21 07:27,132.5
2024-05-21 07:28,132.62
2024-05-21 07:29,132.74
2024-05-21 07:30,132.86
2024-05-21 07:31,132.99
2024-05-21 07:32,133.11
2024-05-21 07:33,133.23
2024-05-21 07:34,133.35
2024-05-21 07:35,133.47
2024-05-21 07:36,133.59
2024-05-21 07:37,133.71
2024-05-21 07:38,133.82
2024-05-21 07:39,133.93
2024-05-21 07:40,134.04
2024-05-21 07:41,134.14
2024-05-21 07:42,134.24
2024-05-21 07:43,134.34
2024-05-21 07:44,134.43
2024-05-21 07:45,134.51
2024-05-21 07:46,134.59
2024-05-21 07:47,134.66
2024-05-21 07:48,134.73
2024-05-21 07:49,134.8
2024-05-21 07:50,134.85
2024-05-21 07:51,134.91
2024-05-21 07:52,134.95
2024-05-21 07:53,134.99
2024-05-21 07:54,135.03
2024-05-21 07:55,135.06
2024-05-21 07:56,135.09
2024-05-21 07:57,135.11
2024-05-21 07:58,135.12
2024-05-21 07:59,135.14
2024-05-21 08:00,135.15
2024-05-21 08:01,135.15
2024-05-21 08:02,135.15
2024-05-21 08:03,135.15
2024-05-21 08:04,135.15
2024-05-21 08:05,135.14
2024-05-21 08:06,135.13
2024-05-21 08:07,135.12
2024-05-21 08:08,135.11
2024-05-21 08:09,135.1
2024-05-21 08:10,135.09
2024-05-21 08:11,135.09
2024-05-21 08:12,135.08
2024-05-21 08:13,135.07
2024-05-21 08:14,135.07
2024-05-21 08:15,135.07
2024-05-21 08:16,135.07
2024-05-21 08:17,135.07
2024-05-21 08:18,135.08
2024-05-21 08:19,135.09
2024-05-21 08:20,135.11
2024-05-21 08:21,135.13
2024-05-21 08:22,135.16
2024-05-21 08:23,135.19
2024-05-21 08:24,135.22
2024-05-21 08:25,135.27
2024-05-21 08:26,135.31
2024-05-21 08:27,135.36
2024-05-21 08:28,135.42
2024-05-21 08:29,135.49
2024-05-21 08:30,135.55
2024-05-21 08:31,135.63
2024-05-21 08:32,135.71
2024-05-21 08:33,135.79
2024-05-21 08:34,135.88
2024-05-21 08:35,135.98
2024-05-21 08:36,136.08
2024-05-21 08:37,136.18
2024-05-21 08:38,136.29
2024-05-21 08:39,136.4
2024-05-21 08:40,136.51
2024-05-21 08:41,136.63
2024-05-21 08:42,136.75
2024-05-21 08:43,136.87
2024-05-21 08:44,136.99
2024-05-21 08:45,137.11
2024-05-21 08:46,137.23
2024-05-21 08:47,137.36
2024-05-21 08:48,137.48
2024-05-21 08:49,137.6
2024-05-21 08:50,137.72
2024-05-21 08:51,137.84
2024-05-21 08:52,137.96
2024-05-21 08:53,138.08
2024-05-21 08:54,138.19
2024-05-21 08:55,138.3
2024-05-21 08:56,138.4
2024-05-21 08:57,138.5
2024-05-21 08:58,138.6
2024-05-21 08:59,138.69
2024-05-21 09:00,138.78
2024-05-21 09:01,138.86
2024-05-21 09:02,138.93
2024-05-21 09:03,139.0
2024-05-21 09:04,139.07
2024-05-21 09:05,139.13
2024-05-21 09:06,139.18
2024-05-21 09:07,139.23
2024-05-21 09:08,139.28
2024-05-21 09:09,139.31
2024-05-21 09:10,139.35
2024-05-21 09:11,139.38
2024-05-21 09:12,139.4
2024-05-21 09:13,139.42
2024-05-21 09:14,139.43
2024-05-21 09:15,139.44
2024-05-21 09:16,139.45
2024-05-21 09:17,139.45
2024-05-21 09:18,139.45
2024-05-21 09:19,139.45
2024-05-21 09:20,139.44
2024-05-21 09:21,139.43
2024-05-21 09:22,139.42
2024-05-21 09:23,139.42
2024-05-21 09:24,139.41
2024-05-21 09:25,139.4
2024-05-21 09:26,139.39
2024-05-21 09:27,139.38
2024-05-21 09:28,139.37
2024-05-21 09:29,139.37
2024-05-21 09:30,139.37
2024-05-21 09:31,139.37
2024-05-21 09:32,139.37
2024-05-21 09:33,139.38
2024-05-21 09:34,139.39
2024-05-21 09:35,139.4
2024-05-21 09:36,139.42
2024-05-21 09:37,139.44
2024-05-21 09:38,139.47
2024-05-21 09:39,139.51
2024-05-21 09:40,139.55
2024-05-21 09:41,139.59
2024-05-21 09:42,139.64
2024-05-21 09:43,139.7
2024-05-21 09:44,139.76
2024-05-21 09:45,139.82
2024-05-21 09:46,139.9
2024-05-21 09:47,139.97
2024-05-21 09:48,140.06
2024-05-21 09:49,140.14
2024-05-21 09:50,140.24
2024-05-21 09:51,140.33
2024-05-21 09:52,140.44
2024-05-21 09:53,140.54
2024-05-21 09:54,140.65
2024-05-21 09:55,140.76
2024-05-21 09:56,140.88
2024-05-21 09:57,141.0
2024-05-21 09:58,141.12
2024-05-21 09:59,141.24
2024-05-21 10:00,141.36
2024-05-21 10:01,141.48
2024-05-21 10:02,141.61
2024-05-21 10:03,141.73
2024-05-21 10:04,141.85
2024-05-21 10:05,141.97
2024-05-21 10:06,142.09
2024-05-21 10:07,142.21
2024-05-21 10:08,142.33
2024-05-21 10:09,142.44
2024-05-21 10:10,142.55
2024-05-21 10:11,142.66
2024-05-21 10:12,142.76
2024-05-21 10:13,142.86
2024-05-21 10:14,142.95
2024-05-21 10:15,143.04
2024-05-21 10:16,143.12
2024-05-21 10:17,143.2
2024-05-21 10:18,143.27
2024-05-21 10:19,143.34
2024-05-21 10:20,143.4
2024-05-21 10:21,143.46
2024-05-21 10:22,143.51
2024-05-21 10:23,143.56
2024-05-21 10:24,143.6
2024-05-21 10:25,143.63
2024-05-21 10:26,143.66
2024-05-21 10:27,143.69
2024-05-21 10:28,143.71
2024-05-21 10:29,143.72
2024-05-21 10:30,143.73
2024-05-21 10:31,143.74
2024-05-21 10:32,143.75
2024-05-21 10:33,143.75
2024-05-21 10:34,143.74
2024-05-21 10:35,143.74
2024-05-21 10:36,143.73
2024-05-21 10:37,143.73
2024-05-21 10:38,143.72
2024-05-21 10:39,143.71
2024-05-21 10:40,143.7
2024-05-21 10:41,143.69
2024-05-21 10:42,143.68
2024-05-21 10:43,143.67
2024-05-21 10:44,143.67
2024-05-21 10:45,143.66
2024-05-21 10:46,143.66
2024-05-21 10:47,143.66
2024-05-21 10:48,143.67
2024-05-21 10:49,143.68
2024-05-21 10:50,143.69
2024-05-21 10:51,143.71
2024-05-21 10:52,143.73
2024-05-21 10:53,143.76
2024-05-21 10:54,143.79
2024-05-21 10:55,143.83
2024-05-21 10:56,143.87
2024-05-21 10:57,143.92
2024-05-21 10:58,143.97
2024-05-21 10:59,144.03
